Tair,tr,RH,vel,clo,Met,thermal_sensation,thermal_preference,Âge,Sexe,cooling type,Building_type,Tout,clim,Season,lat,lon,TSV_3p,Climate
22.6133330000000,23.0588480000000,41.78,0.081,0.53,1.418,0,0,32.0,Female,Air Conditioned,Office,9.2,hot arid,Winter,-30.749,121.466,0,BSh
23.4966670000000,23.6780230000000,40.97,0.105333000000000,0.73,1.516,1,-1,41.0,Female,Air Conditioned,Office,9.2,hot arid,Winter,-30.749,121.466,1,BSh
22.3866670000000,22.4943920000000,44.68,0.062,0.4,1.375,1,0,47.0,Female,Air Conditioned,Office,9.2,hot arid,Winter,-30.749,121.466,1,BSh
22.0266670000000,22.3513070000000,45.63,0.08,0.45,1.718,1,0,42.0,Female,Air Conditioned,Office,9.2,hot arid,Winter,-30.749,121.466,1,BSh
22.6633330000000,22.8512740000000,42.62,0.111,0.78,1.031,1,0,37.0,Female,Air Conditioned,Office,9.2,hot arid,Winter,-30.749,121.466,1,BSh
22.8633330000000,23.1089300000000,42.62,0.064,0.65,1.546,0,0,31.0,Female,Air Conditioned,Office,9.2,hot arid,Winter,-30.749,121.466,0,BSh
23.12,23.002106000000,41.86,0.164333000000000,0.65,1.173,0,0,23.0,Female,Air Conditioned,Office,9.2,hot arid,Winter,-30.749,121.466,0,BSh
22.6866670000000,22.6564200000000,43.31,0.139667000000000,0.55,1.117,0,0,32.0,Female,Air Conditioned,Office,9.2,hot arid,Winter,-30.749,121.466,0,BSh
22.3566670000000,22.5835540000000,43.77,0.185333000000000,0.58,1.598,1,0,22.0,Female,Air Conditioned,Office,9.2,hot arid,Winter,-30.749,121.466,1,BSh
21.9433330000000,22.1516440000000,43.58,0.167667000000000,0.68,1.289,1,0,33.0,Female,Air Conditioned,Office,9.2,hot arid,Winter,-30.749,121.466,1,BSh
21.11,21.596587000000,47.74,0.151667000000000,0.56,1.203,1,-1,39.0,Female,Air Conditioned,Office,9.2,hot arid,Winter,-30.749,121.466,1,BSh
21.98,22.5843040000000,43.4,0.113,0.51,1.718,1,-1,52.0,Female,Air Conditioned,Office,9.2,hot arid,Winter,-30.749,121.466,1,BSh
22.27,22.7597720000000,41.17,0.214667000000000,0.65,1.267,-1,0,40.0,Female,Air Conditioned,Office,9.2,hot arid,Winter,-30.749,121.466,-1,BSh
23.0133330000000,23.212332000000,43.08,0.065,0.54,1.246,0,0,35.0,Female,Air Conditioned,Office,9.2,hot arid,Winter,-30.749,121.466,0,BSh
23.4,23.5549540000000,33.58,0.086,0.64,1.203,0,0,38.0,Female,Air Conditioned,Office,12.1,hot arid,Winter,-30.749,121.466,0,BSh
21.3966670000000,22.1074180000000,37.72,0.139,0.48,1.357,0,0,32.0,Female,Air Conditioned,Office,12.1,hot arid,Winter,-30.749,121.466,0,BSh
22.1833330000000,22.4741200000000,36.83,0.05,0.93,1.203,1,0,33.0,Female,Air Conditioned,Office,12.1,hot arid,Winter,-30.749,121.466,1,BSh
23.1466670000000,23.3727730000000,34.99,0.125333000000000,1.03,1.396,0,0,24.0,Female,Air Conditioned,Office,12.1,hot arid,Winter,-30.749,121.466,0,BSh
23.2233330000000,23.3509450000000,35.84,0.131667000000000,0.79,1.095,1,0,40.0,Female,Air Conditioned,Office,12.1,hot arid,Winter,-30.749,121.466,1,BSh
20.36,21.4158070000000,43.35,0.156333000000000,0.62,1.117,1,-1,29.0,Female,Air Conditioned,Office,12.1,hot arid,Winter,-30.749,121.466,1,BSh
20.9966670000000,22.0541990000000,39.66,0.212333000000000,0.91,1.117,0,0,35.0,Female,Air Conditioned,Office,12.1,hot arid,Winter,-30.749,121.466,0,BSh
