Tair,tr,RH,vel,clo,Met,Âge,Sexe,Tout,Season,cooling type,Building_type,top,tg,thermal_sensation,thermal_preference,Climat,city,country,lat,lon,year,Date,TSV_3p,Climate,Trm_ema_28,Tout_ema_28,RHout_ema_28,precip_ema_28,sunshine_ema_h_28,wind_ema_28,Trm_ema_14,Tout_ema_14,RHout_ema_14,precip_ema_14,sunshine_ema_h_14,wind_ema_14,Trm_ema_7,Tout_ema_7,RHout_ema_7,precip_ema_7,sunshine_ema_h_7,wind_ema_7
23.41,23.5482203633074,49.55,0.155333333333333,0.49,1.379,55.0,female,15.1,winter,air conditioned,office,23.4791101816537,,-1,-1,hot arid,kalgoorlie,australia,-30.749,121.466,1997,1997-05-15,-1,BSh,16.42834857540695,16.42834857540695,67.27775228246185,2.2782156158511735,6.764786381276158,15.084413390449043,13.963732859540709,13.963732859540709,79.76765752964258,4.089909690795037,4.469381350748309,16.04186048825422,13.648403433151543,13.648403433151543,81.24249353259802,3.924096578732133,5.249293681184451,18.30417494662106
21.73,22.0000615842864,54.05,0.102,0.35,1.628,34.0,female,15.1,winter,air conditioned,office,21.8650307921432,,2,-1,hot arid,kalgoorlie,australia,-30.749,121.466,1997,1997-05-15,1,BSh,16.42834857540695,16.42834857540695,67.27775228246185,2.2782156158511735,6.764786381276158,15.084413390449043,13.963732859540709,13.963732859540709,79.76765752964258,4.089909690795037,4.469381350748309,16.04186048825422,13.648403433151543,13.648403433151543,81.24249353259802,3.924096578732133,5.249293681184451,18.30417494662106
21.21,21.3122372495272,55.7,0.0669999999999999,0.94,1.203,40.0,female,15.1,winter,air conditioned,office,21.2611186247636,,0,0,hot arid,kalgoorlie,australia,-30.749,121.466,1997,1997-05-15,0,BSh,16.42834857540695,16.42834857540695,67.27775228246185,2.2782156158511735,6.764786381276158,15.084413390449043,13.963732859540709,13.963732859540709,79.76765752964258,4.089909690795037,4.469381350748309,16.04186048825422,13.648403433151543,13.648403433151543,81.24249353259802,3.924096578732133,5.249293681184451,18.30417494662106
21.46,21.5502476202915,55.62,0.0603333333333333,0.53,1.031,27.0,female,15.1,winter,air conditioned,office,21.5051238101457,,-1,0,hot arid,kalgoorlie,australia,-30.749,121.466,1997,1997-05-15,-1,BSh,16.42834857540695,16.42834857540695,67.27775228246185,2.2782156158511735,6.764786381276158,15.084413390449043,13.963732859540709,13.963732859540709,79.76765752964258,4.089909690795037,4.469381350748309,16.04186048825422,13.648403433151543,13.648403433151543,81.24249353259802,3.924096578732133,5.249293681184451,18.30417494662106
22.23,22.3277759021039,52.57,0.106,0.72,1.688,31.0,female,15.1,winter,air conditioned,office,22.278887951052,,1,0,hot arid,kalgoorlie,australia,-30.749,121.466,1997,1997-05-15,1,BSh,16.42834857540695,16.42834857540695,67.27775228246185,2.2782156158511735,6.764786381276158,15.084413390449043,13.963732859540709,13.963732859540709,79.76765752964258,4.089909690795037,4.469381350748309,16.04186048825422,13.648403433151543,13.648403433151543,81.24249353259802,3.924096578732133,5.249293681184451,18.30417494662106
21.0266666666667,21.3169769848593,55.61,0.0946666666666666,0.33,1.031,24.0,female,15.1,winter,air conditioned,office,21.171821825763,,0,0,hot arid,kalgoorlie,australia,-30.749,121.466,1997,1997-05-15,0,BSh,16.42834857540695,16.42834857540695,67.27775228246185,2.2782156158511735,6.764786381276158,15.084413390449043,13.963732859540709,13.963732859540709,79.76765752964258,4.089909690795037,4.469381350748309,16.04186048825422,13.648403433151543,13.648403433151543,81.24249353259802,3.924096578732133,5.249293681184451,18.30417494662106
20.9,21.0635555312608,56.49,0.0886666666666666,0.6,1.246,22.0,female,15.1,winter,air conditioned,office,20.9817777656304,,-1,1,hot arid,kalgoorlie,australia,-30.749,121.466,1997,1997-05-15,-1,BSh,16.42834857540695,16.42834857540695,67.27775228246185,2.2782156158511735,6.764786381276158,15.084413390449043,13.963732859540709,13.963732859540709,79.76765752964258,4.089909690795037,4.469381350748309,16.04186048825422,13.648403433151543,13.648403433151543,81.24249353259802,3.924096578732133,5.249293681184451,18.30417494662106
23.7266666666667,23.8890166238213,48.1,0.0716666666666666,0.41,1.246,46.0,female,15.1,winter,air conditioned,office,23.807841645244,,1,0,hot arid,kalgoorlie,australia,-30.749,121.466,1997,1997-05-15,1,BSh,16.42834857540695,16.42834857540695,67.27775228246185,2.2782156158511735,6.764786381276158,15.084413390449043,13.963732859540709,13.963732859540709,79.76765752964258,4.089909690795037,4.469381350748309,16.04186048825422,13.648403433151543,13.648403433151543,81.24249353259802,3.924096578732133,5.249293681184451,18.30417494662106
23.8133333333333,24.1141425394708,47.67,0.129333333333333,0.57,1.031,48.0,female,15.1,winter,air conditioned,office,23.9637379364021,,2,1,hot arid,kalgoorlie,australia,-30.749,121.466,1997,1997-05-15,1,BSh,16.42834857540695,16.42834857540695,67.27775228246185,2.2782156158511735,6.764786381276158,15.084413390449043,13.963732859540709,13.963732859540709,79.76765752964258,4.089909690795037,4.469381350748309,16.04186048825422,13.648403433151543,13.648403433151543,81.24249353259802,3.924096578732133,5.249293681184451,18.30417494662106
23.4233333333333,23.4583999337572,49.75,0.048,0.91,1.031,43.0,female,15.1,winter,air conditioned,office,23.4408666335452,,1,-1,hot arid,kalgoorlie,australia,-30.749,121.466,1997,1997-05-15,1,BSh,16.42834857540695,16.42834857540695,67.27775228246185,2.2782156158511735,6.764786381276158,15.084413390449043,13.963732859540709,13.963732859540709,79.76765752964258,4.089909690795037,4.469381350748309,16.04186048825422,13.648403433151543,13.648403433151543,81.24249353259802,3.924096578732133,5.249293681184451,18.30417494662106
