Date,Âge,Sexe,cooling type,Building_type,Climate,Season,Tair,tr,Tout,vel,RH,clo,Met,thermal_sensation,thermal_preference,PMV_ISO,PMV_ASHRAE,aPMV,ePMV,PMV_Gagge,PMV_SET,TSENS,SET,PTS,aSET,eSET,aPTS,ePTS,PTS_SET,PET,PTS_PET,ATHB_PMV,DTS,TSV_3p,lat,lon,Trm_ema_28,Tout_ema_28,RHout_ema_28,precip_ema_28,sunshine_ema_h_28,wind_ema_28,Trm_ema_14,Tout_ema_14,RHout_ema_14,precip_ema_14,sunshine_ema_h_14,wind_ema_14,Trm_ema_7,Tout_ema_7,RHout_ema_7,precip_ema_7,sunshine_ema_h_7,wind_ema_7
07-05-23,54,male,naturally ventilated,multifamily housing,Cfb,summer,24.702089,24.742486,21.6,0.128753,46.605162,0.4783,1.9,0,0.0,0.82,0.82,0.84,0.21,0.4,0.3,0.5,25.0,0.22,0.223937,0.302951,0.827213,0.572244,0.78,25.52,0.446,0.245,-0.715153,0.0,45.75,4.85,22.067882000000001,22.067882000000001,62.60749800000000,2.30812800000000,12.414974000000001,9.376493000000000,21.97982800000000,21.97982800000000,63.566524999999999,2.462835000000000,11.778594999999999,8.573971999999999,21.204184999999999,21.204184999999999,62.359077999999997,2.1095459999999999,12.2575850000000,8.431186000000000
07-07-23,54,male,naturally ventilated,multifamily housing,Cfb,summer,24.246086,24.564764,21.5,0.057033,58.32377,0.4783,1.6,2,-1.0,0.57,0.57,0.58,0.14,0.3,0.3,0.4,24.5,0.095,0.095727,0.13082,0.656776,0.406331,0.66,26.37,0.701,0.253,0.491548,1.0,45.75,4.85,21.769894000000001,21.769894000000001,64.21669000000000,5.4746269999999999,11.573982000000001,9.30278500000000,21.56515000000000,21.56515000000000,62.90679800000000,1.6796489999999999,13.105256000000,8.538223000000000,20.933437999999999,20.933437999999999,65.7092980000000,1.6982420000000000,12.586824999999999,6.78010600000000
07-08-23,54,male,naturally ventilated,multifamily housing,Cfb,summer,24.714681,24.981858,22.6,0.057033,51.904848,0.65365,1.0,2,-1.0,-0.06,-0.06,-0.06,-0.02,0.4,0.5,0.3,25.0,0.22,0.223937,0.302951,0.827646,0.573163,0.78,24.76,0.218,0.007,0.18257,1.0,45.75,4.85,22.145028000000000,22.145028000000000,63.4155210000000,1.8382609999999999,12.80631500000000,8.758538000000000,22.293773999999999,22.293773999999999,60.34590200000000,1.4556960000000001,13.057719000000001,8.922113000000000,21.813054000000001,21.813054000000001,63.692926000000000,0.4193850000000000,12.471747000000001,6.720824000000000
07-08-23,54,male,naturally ventilated,multifamily housing,Cfb,summer,25.401624,25.980734,22.6,0.057033,55.652908,0.65365,1.0,0,-1.0,0.26,0.26,0.26,0.06,0.7,0.8,0.5,26.0,0.47,0.488344,0.647213,1.166594,0.892604,1.02,25.99,0.587,0.141,0.403899,0.0,45.75,4.85,22.145028000000000,22.145028000000000,63.4155210000000,1.8382609999999999,12.80631500000000,8.758538000000000,22.293773999999999,22.293773999999999,60.34590200000000,1.4556960000000001,13.057719000000001,8.922113000000000,21.813054000000001,21.813054000000001,63.692926000000000,0.4193850000000000,12.471747000000001,6.720824000000000
07-08-23,54,male,naturally ventilated,multifamily housing,Cfb,summer,25.134979,25.665506,22.6,0.057033,64.182972,0.3614,1.6,1,-1.0,0.68,0.68,0.69,0.17,0.3,0.3,0.4,24.5,0.095,0.095727,0.13082,0.685769,0.469641,0.66,28.0,1.19,0.379,0.565607,1.0,45.75,4.85,22.145028000000000,22.145028000000000,63.4155210000000,1.8382609999999999,12.80631500000000,8.758538000000000,22.293773999999999,22.293773999999999,60.34590200000000,1.4556960000000001,13.057719000000001,8.922113000000000,21.813054000000001,21.813054000000001,63.692926000000000,0.4193850000000000,12.471747000000001,6.720824000000000
07-08-23,54,male,naturally ventilated,multifamily housing,Cfb,summer,25.12792,25.931181,22.6,0.128753,64.723977,0.53675,0.8,2,-1.0,-1.23,-1.23,-1.2,-0.36,-0.1,0.0,-0.1,24.5,0.095,0.095727,0.13082,0.685546,0.469138,0.66,25.01,0.293,-0.159,-0.161329,1.0,45.75,4.85,22.145028000000000,22.145028000000000,63.4155210000000,1.8382609999999999,12.80631500000000,8.758538000000000,22.293773999999999,22.293773999999999,60.34590200000000,1.4556960000000001,13.057719000000001,8.922113000000000,21.813054000000001,21.813054000000001,63.692926000000000,0.4193850000000000,12.471747000000001,6.720824000000000
07-09-23,54,male,naturally ventilated,multifamily housing,Cfb,summer,25.160188,25.538689,24.2,0.128753,58.019294,0.53675,0.8,2,-1.0,-1.37,-1.37,-1.33,-0.4,-0.1,-0.1,-0.1,24.2,0.02,0.020032,0.027541,0.593298,0.390895,0.588,24.39,0.107,-0.257,-0.241125,1.0,45.75,4.85,22.55819000000000,22.55819000000000,62.36328900000000,2.198277000000000,12.707603000000001,8.991909000000000,23.260089000000001,23.260089000000001,58.65589500000000,1.261603000000000,13.181228000000001,7.669978000000000,23.55696400000000,23.55696400000000,58.90447800000000,0.39462900000000001,13.306801999999999,7.7837529999999999
07-09-23,54,male,naturally ventilated,multifamily housing,Cfb,summer,26.307271,26.829403,24.2,0.057033,59.376951,0.3614,1.6,2,-1.0,0.96,0.96,0.98,0.25,0.5,0.4,0.6,25.5,0.345,0.354782,0.475082,1.038579,0.825615,0.9,29.05,1.505,0.487,0.34738,1.0,45.75,4.85,22.55819000000000,22.55819000000000,62.36328900000000,2.198277000000000,12.707603000000001,8.991909000000000,23.260089000000001,23.260089000000001,58.65589500000000,1.261603000000000,13.181228000000001,7.669978000000000,23.55696400000000,23.55696400000000,58.90447800000000,0.39462900000000001,13.306801999999999,7.7837529999999999
07-09-23,54,male,naturally ventilated,multifamily housing,Cfb,summer,26.522419,27.352505,24.2,0.372,60.008678,0.53675,0.8,1,-1.0,-1.21,-1.16,-1.18,-0.35,-0.1,-0.2,-0.1,24.3,0.045,0.045162,0.061967,0.664547,0.513813,0.612,25.24,0.362,-0.196,-0.286417,1.0,45.75,4.85,22.55819000000000,22.55819000000000,62.36328900000000,2.198277000000000,12.707603000000001,8.991909000000000,23.260089000000001,23.260089000000001,58.65589500000000,1.261603000000000,13.181228000000001,7.669978000000000,23.55696400000000,23.55696400000000,58.90447800000000,0.39462900000000001,13.306801999999999,7.7837529999999999
07-10-23,54,male,naturally ventilated,multifamily housing,Cfb,summer,26.509443,26.720827,25.6,0.372,63.737126,0.53675,0.8,1,-1.0,-1.29,-1.24,-1.25,-0.37,-0.1,-0.2,-0.1,24.1,-0.005,-0.004998,-0.006885,0.601232,0.45826,0.564,25.24,0.362,-0.269,-0.349131,1.0,45.75,4.85,22.936761000000001,22.936761000000001,61.697972999999998,1.776231000000000,12.557978000000000,8.811113000000001,23.864792999999999,23.864792999999999,57.77043000000000,1.0933889999999999,13.255531000000000,8.966957000000001,24.742276000000000,24.742276000000000,55.89233300000000,0.08239700000000000,13.196433000000001,8.284331000000000
