block,key,target,metric,expected,tol
baseline,apts,thermal_preference,accuracy,0.361,
baseline,epts,thermal_preference,accuracy,0.501,
phase3_direct,Moujalled:RF,thermal_preference,accuracy,0.697,
phase3_direct,Moujalled:RF,thermal_preference,qwk,0.455,
phase3_direct,Moujalled:RF,thermal_preference,f1_macro,0.475,
phase3_direct,Moujalled:RF,thermal_preference,wilson_low,0.638,
phase3_direct,Moujalled:RF,thermal_preference,wilson_high,0.751,
phase3_direct,Moujalled:XGB,thermal_preference,accuracy,0.673,
phase3_direct,Moujalled:XGB,thermal_preference,qwk,0.427,
phase3_direct,Moujalled:XGB,thermal_preference,f1_macro,0.46,
phase3_direct,Moujalled:XGB,thermal_preference,wilson_low,0.613,
phase3_direct,Moujalled:XGB,thermal_preference,wilson_high,0.728,
phase3_direct,Moujalled:FTTransformer,thermal_preference,accuracy,0.606,
phase3_direct,Moujalled:FTTransformer,thermal_preference,qwk,0.35,
phase3_direct,Moujalled:FTTransformer,thermal_preference,f1_macro,0.421,
phase3_direct,Moujalled:FTTransformer,thermal_preference,wilson_low,0.544,
phase3_direct,Moujalled:FTTransformer,thermal_preference,wilson_high,0.664,
phase3_adaptive,Moujalled:B_finetune_80-20:RF_adapt,thermal_preference,accuracy,0.725,
phase3_adaptive,Moujalled:B_finetune_80-20:RF_adapt,thermal_preference,qwk,0.544,
phase3_adaptive,Moujalled:B_finetune_80-20:RF_adapt,thermal_preference,f1_macro,0.499,
phase3_adaptive,Moujalled:B_finetune_80-20:RF_adapt,thermal_preference,wilson_low,0.591,
phase3_adaptive,Moujalled:B_finetune_80-20:RF_adapt,thermal_preference,wilson_high,0.829,
phase3_adaptive,Moujalled:B_finetune_80-20:XGB_adapt,thermal_preference,accuracy,0.627,
phase3_adaptive,Moujalled:B_finetune_80-20:XGB_adapt,thermal_preference,qwk,0.428,
phase3_adaptive,Moujalled:B_finetune_80-20:XGB_adapt,thermal_preference,f1_macro,0.435,
phase3_adaptive,Moujalled:B_finetune_80-20:XGB_adapt,thermal_preference,wilson_low,0.49,
phase3_adaptive,Moujalled:B_finetune_80-20:XGB_adapt,thermal_preference,wilson_high,0.747,
phase3_adaptive,Moujalled:B_finetune_80-20:FT_head,thermal_preference,accuracy,0.725,
phase3_adaptive,Moujalled:B_finetune_80-20:FT_head,thermal_preference,qwk,0.549,
phase3_adaptive,Moujalled:B_finetune_80-20:FT_head,thermal_preference,f1_macro,0.499,
phase3_adaptive,Moujalled:B_finetune_80-20:FT_head,thermal_preference,wilson_low,0.591,
phase3_adaptive,Moujalled:B_finetune_80-20:FT_head,thermal_preference,wilson_high,0.829,
phase3_adaptive,Moujalled:B_finetune_80-20:FT_full,thermal_preference,accuracy,0.725,
phase3_adaptive,Moujalled:B_finetune_80-20:FT_full,thermal_preference,qwk,0.549,
phase3_adaptive,Moujalled:B_finetune_80-20:FT_full,thermal_preference,f1_macro,0.499,
phase3_adaptive,Moujalled:B_finetune_80-20:FT_full,thermal_preference,wilson_low,0.591,
phase3_adaptive,Moujalled:B_finetune_80-20:FT_full,thermal_preference,wilson_high,0.829,
phase3_adaptive,Moujalled:B_finetune_20-80:RF_adapt,thermal_preference,accuracy,0.647,
phase3_adaptive,Moujalled:B_finetune_20-80:RF_adapt,thermal_preference,qwk,0.373,
phase3_adaptive,Moujalled:B_finetune_20-80:RF_adapt,thermal_preference,f1_macro,0.44,
phase3_adaptive,Moujalled:B_finetune_20-80:RF_adapt,thermal_preference,wilson_low,0.579,
phase3_adaptive,Moujalled:B_finetune_20-80:RF_adapt,thermal_preference,wilson_high,0.71,
phase3_adaptive,Moujalled:B_finetune_20-80:XGB_adapt,thermal_preference,accuracy,0.667,
phase3_adaptive,Moujalled:B_finetune_20-80:XGB_adapt,thermal_preference,qwk,0.397,
phase3_adaptive,Moujalled:B_finetune_20-80:XGB_adapt,thermal_preference,f1_macro,0.456,
phase3_adaptive,Moujalled:B_finetune_20-80:XGB_adapt,thermal_preference,wilson_low,0.599,
phase3_adaptive,Moujalled:B_finetune_20-80:XGB_adapt,thermal_preference,wilson_high,0.728,
phase3_adaptive,Moujalled:B_finetune_20-80:FT_head,thermal_preference,accuracy,0.602,
phase3_adaptive,Moujalled:B_finetune_20-80:FT_head,thermal_preference,qwk,0.267,
phase3_adaptive,Moujalled:B_finetune_20-80:FT_head,thermal_preference,f1_macro,0.411,
phase3_adaptive,Moujalled:B_finetune_20-80:FT_head,thermal_preference,wilson_low,0.533,
phase3_adaptive,Moujalled:B_finetune_20-80:FT_head,thermal_preference,wilson_high,0.667,
phase3_adaptive,Moujalled:B_finetune_20-80:FT_full,thermal_preference,accuracy,0.602,
phase3_adaptive,Moujalled:B_finetune_20-80:FT_full,thermal_preference,qwk,0.268,
phase3_adaptive,Moujalled:B_finetune_20-80:FT_full,thermal_preference,f1_macro,0.411,
phase3_adaptive,Moujalled:B_finetune_20-80:FT_full,thermal_preference,wilson_low,0.533,
phase3_adaptive,Moujalled:B_finetune_20-80:FT_full,thermal_preference,wilson_high,0.667,
phase3_direct,Hostein:RF,thermal_preference,accuracy,0.607,
phase3_direct,Hostein:RF,thermal_preference,qwk,0.355,
phase3_direct,Hostein:RF,thermal_preference,f1_macro,0.416,
phase3_direct,Hostein:RF,thermal_preference,wilson_low,0.531,
phase3_direct,Hostein:RF,thermal_preference,wilson_high,0.679,
phase3_direct,Hostein:XGB,thermal_preference,accuracy,0.62,
phase3_direct,Hostein:XGB,thermal_preference,qwk,0.353,
phase3_direct,Hostein:XGB,thermal_preference,f1_macro,0.426,
phase3_direct,Hostein:XGB,thermal_preference,wilson_low,0.543,
phase3_direct,Hostein:XGB,thermal_preference,wilson_high,0.691,
phase3_direct,Hostein:FTTransformer,thermal_preference,accuracy,0.534,
phase3_direct,Hostein:FTTransformer,thermal_preference,qwk,0.205,
phase3_direct,Hostein:FTTransformer,thermal_preference,f1_macro,0.424,
phase3_direct,Hostein:FTTransformer,thermal_preference,wilson_low,0.457,
phase3_direct,Hostein:FTTransformer,thermal_preference,wilson_high,0.609,
phase3_adaptive,Hostein:B_finetune_80-20:RF_adapt,thermal_preference,accuracy,0.667,
phase3_adaptive,Hostein:B_finetune_80-20:RF_adapt,thermal_preference,qwk,0.462,
phase3_adaptive,Hostein:B_finetune_80-20:RF_adapt,thermal_preference,f1_macro,0.457,
phase3_adaptive,Hostein:B_finetune_80-20:RF_adapt,thermal_preference,wilson_low,0.496,
phase3_adaptive,Hostein:B_finetune_80-20:RF_adapt,thermal_preference,wilson_high,0.802,
phase3_adaptive,Hostein:B_finetune_80-20:XGB_adapt,thermal_preference,accuracy,0.667,
phase3_adaptive,Hostein:B_finetune_80-20:XGB_adapt,thermal_preference,qwk,0.514,
phase3_adaptive,Hostein:B_finetune_80-20:XGB_adapt,thermal_preference,f1_macro,0.457,
phase3_adaptive,Hostein:B_finetune_80-20:XGB_adapt,thermal_preference,wilson_low,0.496,
phase3_adaptive,Hostein:B_finetune_80-20:XGB_adapt,thermal_preference,wilson_high,0.802,
phase3_adaptive,Hostein:B_finetune_80-20:FT_head,thermal_preference,accuracy,0.515,
phase3_adaptive,Hostein:B_finetune_80-20:FT_head,thermal_preference,qwk,0.0,
phase3_adaptive,Hostein:B_finetune_80-20:FT_head,thermal_preference,f1_macro,0.227,
phase3_adaptive,Hostein:B_finetune_80-20:FT_head,thermal_preference,wilson_low,0.352,
phase3_adaptive,Hostein:B_finetune_80-20:FT_head,thermal_preference,wilson_high,0.675,
phase3_adaptive,Hostein:B_finetune_80-20:FT_full,thermal_preference,accuracy,0.515,
phase3_adaptive,Hostein:B_finetune_80-20:FT_full,thermal_preference,qwk,0.0,
phase3_adaptive,Hostein:B_finetune_80-20:FT_full,thermal_preference,f1_macro,0.227,
phase3_adaptive,Hostein:B_finetune_80-20:FT_full,thermal_preference,wilson_low,0.352,
phase3_adaptive,Hostein:B_finetune_80-20:FT_full,thermal_preference,wilson_high,0.675,
phase3_adaptive,Hostein:B_finetune_20-80:RF_adapt,thermal_preference,accuracy,0.595,
phase3_adaptive,Hostein:B_finetune_20-80:RF_adapt,thermal_preference,qwk,0.284,
phase3_adaptive,Hostein:B_finetune_20-80:RF_adapt,thermal_preference,f1_macro,0.405,
phase3_adaptive,Hostein:B_finetune_20-80:RF_adapt,thermal_preference,wilson_low,0.51,
phase3_adaptive,Hostein:B_finetune_20-80:RF_adapt,thermal_preference,wilson_high,0.676,
phase3_adaptive,Hostein:B_finetune_20-80:XGB_adapt,thermal_preference,accuracy,0.603,
phase3_adaptive,Hostein:B_finetune_20-80:XGB_adapt,thermal_preference,qwk,0.37,
phase3_adaptive,Hostein:B_finetune_20-80:XGB_adapt,thermal_preference,f1_macro,0.417,
phase3_adaptive,Hostein:B_finetune_20-80:XGB_adapt,thermal_preference,wilson_low,0.517,
phase3_adaptive,Hostein:B_finetune_20-80:XGB_adapt,thermal_preference,wilson_high,0.683,
phase3_adaptive,Hostein:B_finetune_20-80:FT_head,thermal_preference,accuracy,0.626,
phase3_adaptive,Hostein:B_finetune_20-80:FT_head,thermal_preference,qwk,0.303,
phase3_adaptive,Hostein:B_finetune_20-80:FT_head,thermal_preference,f1_macro,0.501,
phase3_adaptive,Hostein:B_finetune_20-80:FT_head,thermal_preference,wilson_low,0.541,
phase3_adaptive,Hostein:B_finetune_20-80:FT_head,thermal_preference,wilson_high,0.704,
phase3_adaptive,Hostein:B_finetune_20-80:FT_full,thermal_preference,accuracy,0.618,
phase3_adaptive,Hostein:B_finetune_20-80:FT_full,thermal_preference,qwk,0.307,
phase3_adaptive,Hostein:B_finetune_20-80:FT_full,thermal_preference,f1_macro,0.489,
phase3_adaptive,Hostein:B_finetune_20-80:FT_full,thermal_preference,wilson_low,0.533,
phase3_adaptive,Hostein:B_finetune_20-80:FT_full,thermal_preference,wilson_high,0.697,
feature_importance,RF:Tair,thermal_preference,importance,0.201,
feature_importance,RF:clo,thermal_preference,importance,0.085,
feature_importance,RF:RH,thermal_preference,importance,0.079,
feature_importance,RF:vel,thermal_preference,importance,0.069,
feature_importance,XGB:Climate,thermal_preference,importance,0.288,
feature_importance,XGB:Season,thermal_preference,importance,0.112,
feature_importance,XGB:cooling type,thermal_preference,importance,0.146,
wilcoxon_sig,ANN|FTTransformer,thermal_preference,significant,1.0,0.5
wilcoxon_sig,ANN|RandomForest,thermal_preference,significant,0.0,0.5
wilcoxon_sig,ANN|SVM,thermal_preference,significant,0.0,0.5
wilcoxon_sig,ANN|XGBoost,thermal_preference,significant,0.0,0.5
wilcoxon_sig,FTTransformer|RandomForest,thermal_preference,significant,1.0,0.5
wilcoxon_sig,FTTransformer|SVM,thermal_preference,significant,1.0,0.5
wilcoxon_sig,FTTransformer|XGBoost,thermal_preference,significant,1.0,0.5
wilcoxon_sig,RandomForest|SVM,thermal_preference,significant,0.0,0.5
wilcoxon_sig,RandomForest|XGBoost,thermal_preference,significant,0.0,0.5
wilcoxon_sig,SVM|XGBoost,thermal_preference,significant,0.0,0.5
nn_ceiling,-,thermal_preference,primary_disagreement,0.406,
nn_ceiling,-,thermal_preference,case_b_cluster_agreement,0.773,
nn_ceiling,-,thermal_preference,case_c_agreement,0.6,
